"","School.Name","County.x","Urban.Rural","Classification","X19.21.Difference.in.Math","X19.21.Difference.in.English","All.Students.English.Achievement","All.Students.Math.Achievement","X2021.All.Students.English.Achievement","X2021.All.Students.Math.Achievement","American.Indian.Alaskan.English.Achievement","American.Indian.Alaskan.Math.Achievement","Asian.Pacific.Islander.English.Achievement","Asian.Pacific.Islander.Math.Achievement","Black.English.Achievement","Black.Math.Achievement","Economically.Disadvantaged.English.Achievement","Economically.Disadvantaged.Math.Achievement","Hispanic.English.Achievement","Hispanic.Math.Achievement","White.English.Achievement","White.Math.Achievement","Students.With.Disability.English.Achievement","Students.With.Disability.Math.Achievement","X2021.American.Indian.Alaskan.English.Achievement","X2021.American.Indian.Alaskan.Math.Achievement","X2021.Asian.Pacific.Islander.English.Achievement","X2021.Asian.Pacific.Islander.Math.Achievement","X2021.Black.English.Achievement","X2021.Black.Math.Achievement","X2021.Economically.Disadvantaged.English.Achievement","X2021.Economically.Disadvantaged.Math.Achievement","X2021.Hispanic.English.Achievement","X2021.Hispanic.Math.Achievement","X2021.White.English.Achievement","X2021.White.Math.Achievement","X2021.Students.With.Disability.English.Achievement","X2021.Students.With.Disability.Math.Achievement","County.y","BS","MS","S","phd","Total","Post.Grad.Percentage","Total.Students.Enrolled","Teacher.Student.Ratio","White.Percentage","Black.Percentage","Econ.Disadvantaged.Percentage","County","Avg..Annual.Salaries.Administrators","Avg..Annual.Salaries.Teachers","Avg..Annual.Salaries.Support.Personnel","Absent...5D.Percentage","Absent.6D.15D.Percentage","Absent..15D.Percentage","id","amount","school_ppe_21","direct_cert_perc","mobility","ENROLL_PCT_GIFTED","u.r_dummy","growth.rate.math"
"1663","Simonton Elementary School","Gwinnett County","Urban","E",-21.59,-15.25,62.63,64.33,47.38,42.74,0,0,59.1,75.01,57.2,55.17,59.95,60.3,63.6,66.14,76.42,78.32,26.47,26.47,0,0,0,0,45.46,34.88,42.76,39.9,40.95,40.01,58.57,59.72,20,32,"Gwinnett County",15,27,7,0,49,0.693877551020408,801,16.3469387755102,12,38.2,72.4,"Gwinnett County",89473.25,62909.49,67042.33,59.9,26.8,13.2,1,6350604.01,10641.3798828125,33.7999992370605,15.9,5.3,1,-21.59
"1664","Simpson Elementary School","Gwinnett County","Urban","E",-100,-100,100,100,0,0,0,0,100,100,100,100,95,90.01,93.77,85.42,100,100,71.78,77.75,0,0,0,0,85.49,91.94,87.5,89.29,96.16,88.46,0,0,67.66,85,"Gwinnett County",32,37,3,0,72,0.555555555555556,867,12.0416666666667,69,8.4,7.5,"Gwinnett County",88461.61,59957.3,72134.67,92,7.5,0.5,1,8208021.14,11560.0595703125,2.70000004768372,7.4,20.1,1,-100
"1665","Simpson Middle School","Cobb County","Urban","M",-17.33,-8.77000000000001,99.43,100,90.66,82.67,0,0,100,100,87.89,84.39,78.28,80.62,77.67,81.38,100,100,64.54,64.97,0,0,0,0,77.04,61.4,90.66,82.67,69.78,61.25,95.8,87.32,54.3,45.51,"Cobb County",22,24,12,2,60,0.633333333333333,933,15.55,58.9,10.9,100,"Cobb County",109215.86,69564.92,81238.78,76.2,17.3,6.5,1,7235150.07,9705.080078125,5.19999980926514,4.4,39.4,1,-17.33
"1666","Sims Elementary School","Rockdale County","Urban","E",-27.67,-15.44,59.97,61.64,44.53,33.97,0,0,0,0,60.28,58.89,54.03,55.41,55.36,60.72,0,0,21.16,33.32,0,0,0,0,43.69,33,40.76,33.14,42.11,28.94,0,0,18.18,29.55,"Rockdale County",14,17,14,1,46,0.695652173913043,520,11.304347826087,5.4,70.4,62.7,"Rockdale County",89827,59708.25,67464.45,32.3,25.6,42.1,1,4808903.45,13102.330078125,53.7000007629395,18.5,13,1,-27.67
"1667","Sixes Elementary School","Cherokee County","Urban","E",2.2,-5.95999999999999,82.82,96.16,76.86,98.36,0,0,0,0,0,0,58.82,74.96,74.2,79.71,84.96,99.05,39.6,59.21,0,0,0,0,0,0,63.64,84.1,58.62,87.93,79.1,0,27.55,54.08,"Cherokee County",17,29,12,1,59,0.711864406779661,716,12.135593220339,80.4,2.7,12.8,"Cherokee County",94571.47,66156.92,70533.07,35.8,40.9,23.3,1,6508656.77,11815.73046875,6.90000009536743,8.4,7.5,1,2.2
"1668","Skyview Elementary School","Bibb County","Urban","E",-20.7,-27.98,84.07,76.82,56.09,56.12,0,0,0,0,76.04,69.18,84.07,76.82,0,0,88.16,82.03,64.08,65.63,0,0,0,0,50,44.45,56.09,56.12,0,0,59.61,63.46,43.34,0,"Bibb County",11,10,9,0,30,0.633333333333333,402,13.4,49.8,37.1,100,"Bibb County",90622.32,59591.7,64394,42.8,36.6,20.6,1,3896349.81,13739.1796875,44.4000015258789,14.4,8.4,1,-20.7
"1669","SLAM Academy of Atlanta","State Charter Schools II- SLAM Academy of Atlanta","","E",-18.42,-26.32,44.74,44.74,18.42,26.32,0,0,0,0,44.44,41.67,44.74,44.74,0,0,0,0,0,0,0,0,0,0,20.59,26.47,19.12,26.47,0,0,0,0,0,0,"State Charter Schools II- SLAM Academy of Atlanta",3,6,0,0,9,0.666666666666667,97,10.7777777777778,0,93.8,74.2,"State Charter Schools II- SLAM Academy of Atlanta",80689.66,44712.72,19500,74.2,21.6,4.1,1,1271199,13817.3798828125,80.4000015258789,14.1,NA,NA,-18.42
"1670","Slater Elementary School","Atlanta Public Schools","","E",-29.29,-14.81,28.67,38.22,13.86,8.93,0,0,0,0,28.13,37.74,28.67,38.22,0,0,0,0,8.15,16.28,0,0,0,0,12.18,7.88,13.86,8.93,0,0,0,0,5.88,0,"Atlanta Public Schools",21,20,1,0,42,0.5,479,11.4047619047619,0.2,97.7,100,"Atlanta Public Schools",97229.69,58642.19,77817.85,16.9,24.4,58.7,1,NA,NA,86.5,8.1,1.1,NA,-29.29
"1671","Smiley Elementary School","Long County","Urban","E",-23.01,-19.81,64.21,77.45,44.4,54.44,0,0,0,0,50,72.5,61.36,74.85,55.4,68.94,71.56,80.28,51.86,59.27,0,0,0,0,36.77,40,37.72,50.42,50.01,50,43.55,59.24,25,37.51,"Long County",23,30,11,1,65,0.646153846153846,960,14.7692307692308,48.6,23.3,63.6,"Long County",80155.45,54596.16,67290.92,58.3,34.2,7.5,1,7160080.27,9823.3896484375,36.4000015258789,22.4,0.1,1,-23.01
"1672","Smith Elementary School","Atlanta Public Schools","","E",-10.25,-5.45,88.9,90.36,83.45,80.11,0,0,100,100,70.73,68.48,55.26,51.77,59.71,54.85,100,100,44.28,46.43,0,0,96.67,0,70.27,58.11,35.58,36.54,50,48.71,0,0,41.67,56.52,"Atlanta Public Schools",21,40,6,2,69,0.695652173913043,888,12.8695652173913,37.8,23.6,19.3,"Atlanta Public Schools",96597.5,65258.14,79371.32,78.7,14.4,6.9,1,NA,NA,18.3999996185303,10.9,16.2,NA,-10.25
"1673","Smith-Barnes Elementary School","Henry County","Urban","E",-11.97,-6.06,47.56,43.89,41.5,31.92,0,0,0,0,43.44,39.16,44.43,42.56,48.68,50.67,0,0,20.84,22.92,0,0,0,0,36,24.67,43.37,34.7,41.48,34.05,0,0,20.83,10.42,"Henry County",6,10,6,2,24,0.75,293,12.2083333333333,6.5,58,68.3,"Henry County",103055.53,62084.97,69097.43,42,34.5,23.5,1,3260679.33,13228.419921875,48.9000015258789,21.6,10.1,1,-11.97
"1674","Smitha Middle School","Cobb County","Urban","M",-15.8,-8.08,60.16,61.17,52.08,45.37,0,0,96.67,90,62.81,59.37,57.11,59.07,55.86,59.82,79.07,80.24,32.36,36.52,0,0,0,0,57.84,45.49,52.08,45.37,47.5,42.97,65.85,61.53,30.15,30.01,"Cobb County",18,35,17,3,73,0.753424657534247,1078,14.7671232876712,5.4,30.9,100,"Cobb County",104092.81,69489.45,75957.91,49,26.9,24.1,1,10087403.98,11821.3203125,32.5,15.9,6.6,1,-15.8
"1675","Smoke Rise Elementary School","DeKalb County","Urban","E",-21.31,-17.26,78.37,70.51,61.11,49.2,0,0,90.63,71.88,76.07,72.87,75.19,67.99,73.33,57.77,90.02,76.68,80,86,0,0,0,0,75.85,62.07,55.01,43.34,38,35.42,0,0,0,0,"DeKalb County",8,18,9,5,40,0.8,414,10.35,6.3,46.4,57,"DeKalb County",102295.46,70688.45,73246.36,73.7,14.5,11.8,1,4952611.63,16485.509765625,35.5999984741211,9.5,5.2,1,-21.31
"1676","Smokey Road Middle School","Coweta County","Urban","M",-19.76,-11.17,63.5,63.27,52.33,43.51,0,0,0,0,46.54,45.71,52.57,52.19,61.41,67.55,74.85,74.48,33.9,37.91,0,0,0,0,33.21,25.72,38.73,32.53,60.81,51.35,63.1,53.04,29.52,30.17,"Coweta County",11,18,9,2,40,0.725,740,18.5,55.1,32.4,58.1,"Coweta County",95711,60575.78,77727.6,64.6,25.4,10,1,5522062.51,9469.7099609375,43.7999992370605,15.2,18,1,-19.76
"1677","Smyrna Elementary School","Cobb County","Urban","E",-20.77,-15.26,65.12,67.72,49.86,46.95,0,0,0,0,64.03,64.8,53.1,56.01,45.96,54.06,91.4,90.87,36.48,39.88,0,0,0,0,41.6,37.3,49.86,46.95,33.17,33.01,84.93,78.57,33.34,39.19,"Cobb County",35,36,13,2,86,0.593023255813954,997,11.593023255814,21.4,39.9,100,"Cobb County",94780.16,65639.95,64732.01,65.1,23,11.9,1,10031241.52,12695.6796875,33,15.6,9.9,1,-20.77
"1678","Snapfinger Elementary School","DeKalb County","Urban","E",-10.72,-15.01,29.72,23.04,14.71,12.32,0,0,0,0,27.92,21.24,29.72,23.04,0,0,0,0,10.29,7.35,0,0,0,0,14.52,11.91,14.71,12.32,0,0,0,0,0,0,"DeKalb County",13,27,3,1,44,0.704545454545455,573,13.0227272727273,0.7,93.2,100,"DeKalb County",96674.03,65297.16,70144.11,24.6,22.3,53.1,1,5448999.83,14242.8603515625,79.0999984741211,16.5,NA,1,-10.72
"1679","Snellville Middle School","Gwinnett County","Urban","M",-22.3,-15.7,64.34,63.71,48.64,41.41,0,0,83.34,93.76,64.07,62.58,58.97,59.15,55.86,55.88,71.44,75.91,23.09,31.69,0,0,0,0,52.71,42.32,42.93,36.37,39.86,36.67,61.77,55.88,18.94,20.31,"Gwinnett County",21,24,5,3,53,0.60377358490566,1028,19.3962264150943,6,69.3,66.1,"Gwinnett County",100952.22,60723.52,64529.5,85.5,10.9,3.6,1,7097540.44,9082.849609375,35.2000007629395,14.1,11.3,1,-22.3
"1680","Snelson-Golden Middle School","Liberty County","Urban","M",-15.63,-14,58.22,47.78,44.22,32.15,0,0,82.36,79.41,50.38,40.08,53.9,45.03,62.35,56.51,70.27,56.05,26.59,26.06,0,0,0,0,39.28,26.57,44.22,32.15,52.5,39.62,47.38,39.24,24.03,23.38,"Liberty County",19,24,8,3,54,0.648148148148148,982,18.1851851851852,13.2,59,100,"Liberty County",90738.45,58545.18,76434.14,40,31.1,28.9,1,6782310.38,9178.650390625,46.9000015258789,21.1,8.7,1,-15.63
"1681","Social Circle Elementary School","Social Circle City","","E",-0.590000000000003,-0.510000000000005,66.34,69.65,65.83,69.06,0,0,0,0,39.08,52.89,48.37,55.96,61.77,67.66,75.32,74.28,33.66,26.92,0,0,0,0,47.44,44.23,53.77,56.51,76.47,70.58,71.31,76.95,35.56,43.33,"Social Circle City",11,18,3,0,32,0.65625,382,11.9375,67.3,22.8,40.1,"Social Circle City",78546.67,61133.66,62563.8,63.4,32.5,4.2,1,3672311.31,12031.7802734375,32.5999984741211,9.8,18.3,NA,-0.590000000000003
"1682","Social Circle High School","Social Circle City","","H",-50.79,-22.37,82.26,68.04,59.89,17.25,0,0,0,0,59.44,33.74,73.66,53.37,0,0,88.24,76.49,50,0,0,0,0,0,52.38,17.31,61.53,15.86,0,0,60.72,18.19,0,23.33,"Social Circle City",7,18,11,0,36,0.805555555555556,606,16.8333333333333,75.2,16.7,25.1,"Social Circle City",86428.81,66138.91,82539.06,44.6,40.4,15,1,5189414.57,10633.01953125,20.1000003814697,11,13.9,NA,-50.79
"1683","Social Circle Middle School","Social Circle City","","M",-10.62,-6.33,64.69,66.71,58.36,56.09,0,0,0,0,41.21,46.16,47.6,51.36,0,0,70.63,72.28,28.73,39.13,0,0,0,0,37.22,37.21,45.91,43.09,52.5,55,64.68,60.76,35.97,31.58,"Social Circle City",8,14,7,0,29,0.724137931034483,484,16.6896551724138,69.8,20.5,35.7,"Social Circle City",87040.97,61237.61,70774.16,45.2,39.7,15.1,1,3490095.43,9507.1103515625,25.3999996185303,10.5,21.4,NA,-10.62
"1684","Social Circle Primary School","Social Circle City","","E",2.11,7.27,59.82,68.63,67.09,70.74,0,0,0,0,38.47,46.16,37.24,48.94,0,0,66.67,75.36,23.33,23.33,0,0,0,0,59.38,56.25,58.07,61.29,0,0,68.34,74.17,0,0,"Social Circle City",10,16,7,0,33,0.696969696969697,389,11.7878787878788,72.2,20.1,39.6,"Social Circle City",84250.71,60980.8,62856.84,52.4,35.2,12.3,1,3524863.07,11373.9599609375,34,10.1,10.1,NA,2.11
"1685","Sonoraville Elementary","Gordon County","Rural","E",6.95,-2.17999999999999,68.97,75.88,66.79,82.83,0,0,0,0,0,0,61.97,70.76,71.56,80.39,69.03,76.57,43.34,46.67,0,0,0,0,0,0,51.06,72.54,59.57,78.73,69.41,86.32,43.76,50.01,"Gordon County",19,13,9,1,42,0.547619047619048,595,14.1666666666667,77.3,2.4,49.1,"Gordon County",87375,55739.76,66184.75,45.4,38.2,16.5,1,5063234.74,10572.8701171875,27.1000003814697,13.5,13.6,0,6.95
"1686","Sonoraville High School","Gordon County","Rural","H",-31.66,-9.17,74.13,77.55,64.96,45.89,0,0,0,0,0,0,64.6,65.95,69.17,72.5,75,78.32,35.88,31.8,0,0,0,0,0,0,58.41,35.66,72.92,45.45,64.11,46.78,21.43,9.21,"Gordon County",26,21,17,2,66,0.606060606060606,1184,17.9393939393939,84.5,2,43.8,"Gordon County",89042.38,61494.45,74863,18.4,30.3,51.3,1,9468070.99,9874.1103515625,22,10.2,10.4,0,-31.66
"1687","Sope Creek Elementary School","Cobb County","Urban","E",-100,-100,100,100,0,0,0,0,100,100,82.76,86.21,77.64,81.59,79.63,87.05,100,100,62.97,70.37,0,0,0,0,80.65,83.88,0,0,83.34,81.03,0,0,68.63,78,"Cobb County",33,37,10,0,80,0.5875,1050,13.125,54.7,6,100,"Cobb County",109342.42,66093.43,59665.83,91.4,7.7,0.9,1,9640987.65000001,11492.759765625,3.09999990463257,9,21.6,1,-100
"1688","South Atlanta High School","Atlanta Public Schools","","H",-13.55,-2.91,44.95,26.35,42.04,12.8,0,0,0,0,43.79,25.65,44.95,26.35,58.82,35.49,0,0,13.86,12.77,0,0,0,0,42.59,11.87,42.04,12.8,0,0,0,0,12.5,11.76,"Atlanta Public Schools",17,34,10,3,64,0.734375,912,14.25,0.5,91.1,100,"Atlanta Public Schools",106962.7,65629.04,79175.74,19.1,16.9,64,1,10705971.66,19100.220703125,67.8000030517578,13.2,5.5,NA,-13.55
"1689","South Cobb High School","Cobb County","Urban","H",-22.19,-8,70.59,62.5,62.59,40.31,0,0,0,100,68.85,58.56,68.25,59.87,68.44,66.13,79.71,69.11,35.92,32.31,0,0,0,0,61.26,42.35,62.59,40.31,61.47,36.54,59.52,0,36.2,40.91,"Cobb County",24,71,23,9,127,0.811023622047244,2205,17.3622047244094,6.7,59.1,100,"Cobb County",96546.57,67779.54,76193.84,57.7,20.6,21.6,1,18263949.8,10577.259765625,29.8999996185303,17.4,8.1,1,-22.19
"1690","South Columbia Elementary School","Columbia County","Urban","E",4,-0.670000000000002,67.55,80.06,66.88,84.06,0,0,0,0,57.24,69.88,58.48,70.44,41.17,44.12,78.71,93.98,36.22,53.45,0,0,0,0,55.43,71.75,63.46,79.34,60.53,71.06,69.87,90.38,60.72,73.23,"Columbia County",12,16,11,0,39,0.692307692307692,453,11.6153846153846,45.9,27.6,57.4,"Columbia County",98216.75,62524.71,74066.8,46.1,39.7,14.1,1,4350067.02,12031.990234375,29.8999996185303,14.2,6,1,4
"1691","South Columbus Elementary School","Muscogee County","Urban","E",-22.34,-20.83,46.94,46.23,26.11,23.89,0,0,0,0,46.52,46.48,46.94,46.23,38.05,38.05,0,0,10.42,13.05,0,0,0,0,22.92,19.79,26.11,23.89,23.53,27.94,0,0,8.34,8.34,"Muscogee County",10,13,4,1,28,0.642857142857143,408,14.5714285714286,4.4,61,100,"Muscogee County",88771,54020,63537.69,29.4,37.5,33.1,1,3299340.83,12157.8798828125,71.8000030517578,30.5,5.1,1,-22.34
"1692","South Dodge Elementary School","Dodge County","Rural","E",-14.87,-6.6,52.17,60.84,45.57,45.97,0,0,0,0,40.59,50.01,52.17,60.84,0,0,61.7,68.16,31.67,40.83,0,0,0,0,32.88,36.49,45.57,45.97,0,0,56.2,54.66,20.4,29.59,"Dodge County",16,20,17,1,54,0.703703703703704,669,12.3888888888889,46.3,44.1,100,"Dodge County",78818.45,58439.21,67842.29,43,42.6,14.3,1,6505890.94,11832.830078125,61,12.7,1,0,-14.87
"1693","South Douglas Elementary School","Douglas County","Urban","E",-14.59,-16.8,86.8,85.76,70,71.17,0,0,0,0,74.09,68.53,76.93,74.36,71.88,62.51,89.09,88.27,66.25,73.75,0,0,0,0,68.34,60.01,47.86,51.43,0,0,69.96,72.99,46.97,40.91,"Douglas County",8,13,12,1,34,0.764705882352941,561,16.5,73.6,13.9,27.3,"Douglas County",92254.02,70029.9,75330.02,61.5,30.1,8.4,1,4412238.44,10560.25,14.1000003814697,8.8,14.6,1,-14.59
"1694","South Effingham Elementary School","Effingham County","Urban","E",-2.05,-9.86,95.65,96.44,85.79,94.39,0,0,0,0,81.82,80.68,76.09,80.44,88.73,93.55,96.79,97.55,65.63,75.01,0,0,91.17,0,68.92,67.57,73.83,83.73,82.15,0,86.91,95.24,40.58,56.61,"Effingham County",30,35,10,0,75,0.6,957,12.76,70,11.6,23.3,"Effingham County",82060.88,59170.23,68923.92,64.4,30.8,4.8,1,6530849.87,8871.849609375,10.1000003814697,10.4,7.6,1,-2.05
"1695","South Effingham High School","Effingham County","Urban","H",-23.15,-16.85,85.16,77.06,68.31,53.91,0,0,0,0,65.59,51.2,74.21,59.65,78.35,78.8,87.96,80.57,41.56,27.58,0,0,0,0,51.48,46.06,45.3,46.13,55.55,51.67,71.67,55.57,20.7,18.89,"Effingham County",45,71,14,5,135,0.666666666666667,1911,14.1555555555556,71.4,11.9,26.7,"Effingham County",91902.23,60785.29,70813.47,41.4,38.4,20.3,1,11052247.72,8872.740234375,12,10.6,13.5,1,-23.15
"1696","South Effingham Middle School","Effingham County","Urban","M",-12.09,-2.61,82.76,88.95,80.15,76.86,0,0,0,0,65.25,62.2,65.18,73.8,89.77,95.18,83.39,90.78,41.68,52.09,0,0,0,0,61.69,49.36,66.02,62.9,78.74,75.28,82.21,79.43,36.87,40.15,"Effingham County",32,51,19,6,108,0.703703703703704,1132,10.4814814814815,74.2,10.7,30.2,"Effingham County",90354.84,62516.98,61886.69,47.3,39,13.7,1,7696081.29,8804.8603515625,17.7000007629395,10.2,14.6,1,-12.09
"1697","South Forsyth High School","Forsyth County","Urban","H",-26.2,-100,100,100,0,73.8,0,0,100,100,100,75.02,79.12,81.49,86.05,89.07,100,100,71.62,55.27,0,0,0,86.53,0,0,0,0,0,0,0,74.21,66.67,0,"Forsyth County",29,65,27,7,128,0.7734375,2381,18.6015625,55.3,2.8,4.1,"Forsyth County",101227.8,65529.45,68403.67,54.5,29.8,15.7,1,17670462.55,8800.25,1.29999995231628,3.2,22.8,1,-26.2
"1698","South Forsyth Middle School","Forsyth County","Urban","M",-100,-0.140000000000001,100,100,99.86,0,0,0,100,100,100,100,89.79,94.33,100,100,100,100,75.88,85.3,0,0,0,0,82.76,85.71,67.64,72.07,85.84,88.33,89.11,99.69,61.25,77.17,"Forsyth County",24,31,16,3,74,0.675675675675676,1459,19.7162162162162,42.4,3,3.2,"Forsyth County",86228.8,63037.09,67048.9,67.1,25.4,7.5,1,9632703.16,7987.3701171875,1.60000002384186,3.5,31.3,1,-100
"1699","South Gwinnett High School","Gwinnett County","Urban","H",-24.13,1.22,69.8,55.79,71.02,31.66,0,0,64.29,59.1,68.11,53.84,68.04,53.24,68.75,56.29,85.46,68.36,26.58,21.62,0,0,0,0,75,30.3,63.47,31.6,46.16,33.72,0,0,10.53,22.73,"Gwinnett County",54,64,21,7,146,0.63013698630137,2863,19.6095890410959,6,71.2,60.6,"Gwinnett County",99059.08,61399.75,73191.78,72,15.2,12.8,1,19885945.73,9105.8095703125,27.3999996185303,13.8,8,1,-24.13
"1700","South Habersham Middle School","Habersham County","Rural","M",-19.46,-7.12,69.1,82.23,61.98,62.77,0,0,0,0,0,0,62.04,77.68,58.07,73.94,77.37,88.76,46.17,60.45,0,0,0,0,0,0,57.12,58.94,55.86,57.14,68.76,68.69,47.22,48.89,"Habersham County",13,16,12,2,43,0.697674418604651,497,11.5581395348837,47.1,3.2,64,"Habersham County",80563.59,60052.23,67968.53,64.6,27.2,8.2,1,4790815.51,11842.25,31.7000007629395,15.7,6.3,0,-19.46
"1701","South Hall Middle School","Hall County","Urban","M",-8.27,-0.990000000000002,56.36,61.86,55.37,53.59,0,0,92.86,100,37.78,42.22,44.47,51.26,42.92,49.42,89.17,93.38,23.97,27.74,0,0,93.19,93.18,44.45,36.77,43.83,43.07,44.93,43.7,83.58,81.89,27.78,28.97,"Hall County",23,34,17,3,77,0.701298701298701,1127,14.6363636363636,24.4,4.4,62.4,"Hall County",88856.33,62250.59,72512.91,49.2,33.7,17,1,9049252.82,10254.0498046875,27,10.9,15.5,1,-8.27
"1702","South Hart Elementary School","Hart County","Rural","E",-4.24,-3.56,60.88,62.5,57.32,58.26,0,0,0,0,42.24,45.7,52.4,54.55,50.02,61.54,67.26,66.67,29.47,37.51,0,0,0,0,36.9,41.67,45.3,50.43,55.36,60.71,63.79,62.21,24.28,30.01,"Hart County",11,11,13,1,36,0.694444444444444,501,13.9166666666667,59.9,21.8,56.9,"Hart County",72539.5,56622.16,60087.61,52.3,41.1,6.6,1,4804252.3,11784.3603515625,39.0999984741211,11.9,4.7,0,-4.24
"1703","South Jackson Elementary School","Jackson County","Rural","E",-6.91,-9.25,63.08,70.47,53.83,63.56,0,0,0,0,50,62.5,54.2,61.98,62.74,65.68,65.91,74.44,35.97,42.11,0,0,0,0,26.32,23.68,47.66,54.06,45.56,59.1,57.88,68.93,28.94,40.51,"Jackson County",21,29,7,1,58,0.637931034482759,677,11.6724137931034,67.2,7.7,55.7,"Jackson County",95360,55590.24,65535.97,49.6,36.6,13.7,1,6855413.34,12514.5703125,41.4000015258789,12.3,6.5,0,-6.91
"1704","South Paulding High School","Paulding County","Urban","H",-11.46,-13.04,70.96,53.65,57.92,42.19,0,0,0,0,59.85,36.92,59.75,43.53,73.76,58.34,73.76,58.47,34.56,24.75,0,0,0,0,47.38,31.82,52.06,38.81,44.83,38,61.42,44.73,30.78,23,"Paulding County",30,46,19,2,97,0.690721649484536,1979,20.4020618556701,67,21.6,33.6,"Paulding County",98979.84,67443.14,78546.58,46.5,30.5,22.9,1,13407424.29,8837.5302734375,17.2000007629395,9.2,9.8,1,-11.46
"1705","South Paulding Middle School","Paulding County","Urban","M",-17.75,-8.27999999999999,70.6,67.92,62.32,50.17,0,0,0,0,66.89,60.81,60.71,57.43,58.97,60.26,73.29,70.69,24.7,27.16,0,0,0,0,60.99,45.71,53.78,43.63,59.99,46.56,62.25,50.67,22.23,15.08,"Paulding County",7,15,12,0,34,0.794117647058823,516,15.1764705882353,70.9,14.3,47.1,"Paulding County",89745.36,66111.03,79943,41.9,36.2,21.9,1,4617056.64,11536.4501953125,24.7999992370605,15,10.8,1,-17.75
"1706","South Salem Elementary School","Newton County","Urban","E",-23.01,-17.75,44.68,45.91,26.93,22.9,0,0,0,0,41.63,43.27,38.39,42.02,41.98,40.74,58.83,57.36,19.72,26.06,0,0,0,0,25.17,19.61,25.99,22.91,17.5,22.5,40.75,33.34,28.41,26.66,"Newton County",31,25,2,1,59,0.474576271186441,849,14.3898305084746,18.5,62.1,81.6,"Newton County",83328,52572.61,65271.58,38.6,36.6,24.7,1,6995692.21,11549.7001953125,54.0999984741211,21.9,4.7,1,-23.01
"1707","South Tattnall Middle School","Tattnall County","Rural","M",-18.56,-10.18,62.31,80.39,52.13,61.83,0,0,0,0,36.27,52.75,62.31,80.39,54.66,72.1,77.72,97.44,30.92,40.91,0,0,0,0,31.26,32.42,52.13,61.83,52.73,64.54,60.52,73.43,22.73,26.31,"Tattnall County",12,14,5,1,32,0.625,400,12.5,52.5,27,100,"Tattnall County",77419.54,53608.55,67707.58,32.3,43.8,24,1,3672246.89,10820.4501953125,46.9000015258789,10.2,8.6,0,-18.56
"1708","Southeast Bulloch High School","Bulloch County","Rural","H",-32.05,-7.97,81.44,84.11,73.47,52.06,0,0,0,0,54.49,54.16,61.07,64.1,76.58,68.76,87.21,90.22,32.61,33.35,0,0,0,0,36.36,39.47,48.08,36.08,0,0,78.3,54.39,17.25,30,"Bulloch County",17,26,10,2,55,0.690909090909091,1151,20.9272727272727,77.9,12.9,37.6,"Bulloch County",77095.13,62476.46,63525.36,42.5,34.1,23.5,1,7206473.67,8313.6298828125,20.2999992370605,8,12.2,0,-32.05
"1709","Southeast Bulloch Middle School","Bulloch County","Rural","M",-14.87,-12.03,72.82,80.5,60.79,65.63,0,0,100,100,54.67,56.99,53.63,61.03,58.62,68.98,75.2,84.02,22.32,33.49,0,0,0,0,42.13,41.01,43.85,48.13,57.41,59.27,63.74,69.78,21.72,23.58,"Bulloch County",22,20,6,2,50,0.56,880,17.6,76.5,14,43.5,"Bulloch County",78118.13,57537.85,61684.74,43.5,39.1,17.4,1,5593439.38,8587.4501953125,23.5,13.7,17.2,0,-14.87
"1710","Southeast Whitfield County High School","Whitfield County","Urban","H",-1.99,-28.53,67.84,51.85,39.31,49.86,0,0,0,0,56.67,0,65.94,49.61,65.98,51.47,72.9,53.17,33.34,21.31,0,0,0,0,0,0,38.2,47.88,35.74,51.07,51.78,50.47,27.64,29.03,"Whitfield County",26,33,18,1,78,0.666666666666667,1519,19.474358974359,28.6,1.4,75.8,"Whitfield County",75377.75,59308.28,65226,41.4,36.3,22.3,1,10093634.1,8612.6396484375,21.2999992370605,10.8,13.6,1,-1.99
"1711","Southfield Elementary School","Bibb County","Urban","E",-18.08,-9.49,27.59,34.63,18.1,16.55,0,0,0,0,26.56,34.67,27.59,34.63,35.72,30.36,0,0,25.54,22.34,0,0,0,0,16.11,13.81,18.1,16.55,24.33,22.97,0,0,20,16.67,"Bibb County",34,11,11,1,57,0.403508771929824,855,15,5,79.8,100,"Bibb County",84854.16,50701.78,61876.17,12.9,32.9,54.3,1,6368310.98,11418.169921875,80.9000015258789,27.3,1.2,1,-18.08
"1712","Southside Elementary School","Grady County","Rural","E",23.52,18.01,28.62,39.32,46.63,62.84,0,0,0,0,28.32,37.77,28.62,39.32,39.71,40.44,68.43,66.46,22.92,27.09,0,0,0,0,39.88,43.45,46.63,62.84,40.49,68.26,62.14,81.44,9.1,20.46,"Grady County",17,17,13,0,47,0.638297872340426,504,10.7234042553191,28.4,41.3,100,"Grady County",88175.55,54473.25,68905.6,58.1,33.3,8.5,1,4704289.87,12244.26953125,53.4000015258789,11.1,5.6,0,23.52
